product_family,bfc_price,starbucks_price,cbtl_price,gap_vs_starbucks_php,gap_vs_cbtl_php,bfc_discount_vs_starbucks_pct,bfc_discount_vs_cbtl_pct,bfc_price_index_vs_starbucks,bfc_price_index_vs_cbtl
Americano,130.0,175.0,185.0,45.0,55.0,25.71428571428571,29.72972972972973,74.28571428571429,70.27027027027027
Cafe Latte,150.0,185.0,187.5,35.0,37.5,18.91891891891892,20.0,81.08108108108108,80.0
Caramel Macchiato,130.0,210.0,245.0,80.0,115.0,38.095238095238095,46.93877551020408,61.904761904761905,53.06122448979592
Matcha Latte,130.0,190.0,225.0,60.0,95.0,31.57894736842105,42.22222222222222,68.42105263157895,57.77777777777777
Mocha,150.0,205.0,220.0,55.0,70.0,26.82926829268293,31.818181818181817,73.17073170731707,68.18181818181817
