volume_increase_pct,revenue_index,revenue_change_pct,discount_pct,scenario_type,scenario_assumption,revenue_outcome
0,0.8,-19.999999999999996,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Decrease
10,0.8800000000000001,-11.99999999999999,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Decrease
20,0.96,-4.0000000000000036,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Decrease
25,1.0,0.0,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Neutral
30,1.04,4.0000000000000036,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Increase
40,1.12,11.99999999999999,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Increase
50,1.2000000000000002,20.000000000000018,20.0,20% Promotion Response,Illustrative revenue response to a 20% discount under alternative volume lifts,Revenue Increase
